State/Territory,Date,Employment Rate (15-64)   ,Unemployment Rate (15+)  ,Participation Rate (15+)    
NSW,Feb-78,n/a,6.9,60.8
NSW,Mar-78,n/a,6.4,59.8
NSW,Apr-78,63.7,6.5,60.2
NSW,May-78,63.7,6.1,60.0
NSW,Jun-78,63.7,6.4,60.1
NSW,Jul-78,63.7,6.1,60.0
NSW,Aug-78,63.5,6.3,60.1
NSW,Sep-78,63.5,6.2,59.8
NSW,Oct-78,63.5,6.0,59.9
NSW,Nov-78,63.5,6.2,59.8
NSW,Dec-78,63.8,6.1,59.8
NSW,Jan-79,63.4,6.0,59.8
NSW,Feb-79,63.5,6.0,59.5
NSW,Mar-79,63.3,6.1,59.3
NSW,Apr-79,63.5,6.4,59.6
NSW,May-79,63.3,6.2,59.2
NSW,Jun-79,63.2,6.2,59.4
NSW,Jul-79,63.3,6.2,59.7
NSW,Aug-79,63.4,5.5,59.5
NSW,Sep-79,63.7,5.7,59.5
NSW,Oct-79,63.9,5.9,59.9
NSW,Nov-79,64.3,5.5,60.2
NSW,Dec-79,64.6,5.7,60.1
NSW,Jan-80,64.5,5.8,60.3
NSW,Feb-80,64.5,5.6,60.2
NSW,Mar-80,64.6,5.4,60.5
NSW,Apr-80,65.0,5.4,60.6
NSW,May-80,65.4,5.7,61.1
NSW,Jun-80,65.2,5.7,60.7
NSW,Jul-80,65.3,5.6,60.8
NSW,Aug-80,65.0,5.8,60.8
NSW,Sep-80,65.2,5.7,60.9
NSW,Oct-80,65.1,5.4,60.5
NSW,Nov-80,65.2,5.4,60.3
NSW,Dec-80,65.2,5.6,60.7
NSW,Jan-81,64.8,5.6,60.5
NSW,Feb-81,64.8,5.2,60.3
NSW,Mar-81,64.8,5.2,60.3
NSW,Apr-81,65.2,5.1,60.2
NSW,May-81,65.3,4.9,60.1
NSW,Jun-81,65.2,4.5,60.0
NSW,Jul-81,65.2,5.1,60.3
NSW,Aug-81,65.0,5.0,60.3
NSW,Sep-81,65.2,5.1,60.5
NSW,Oct-81,65.1,5.3,60.2
NSW,Nov-81,65.2,5.7,60.1
NSW,Dec-81,65.0,5.6,60.2
NSW,Jan-82,64.7,5.6,60.4
NSW,Feb-82,64.6,6.1,60.3
NSW,Mar-82,64.5,6.0,60.3
NSW,Apr-82,64.7,6.0,60.1
NSW,May-82,64.6,6.2,60.1
NSW,Jun-82,64.2,6.6,60.0
NSW,Jul-82,64.0,6.8,59.9
NSW,Aug-82,63.6,6.8,60.0
NSW,Sep-82,63.5,7.5,59.8
NSW,Oct-82,63.2,8.7,60.3
NSW,Nov-82,63.0,9.3,60.4
NSW,Dec-82,62.5,10.1,59.9
NSW,Jan-83,61.8,9.6,59.8
NSW,Feb-83,61.5,10.3,60.3
NSW,Mar-83,61.4,10.9,60.1
NSW,Apr-83,61.6,10.6,59.8
NSW,May-83,61.5,10.9,60.2
NSW,Jun-83,61.3,10.9,59.9
NSW,Jul-83,61.1,11.1,59.7
NSW,Aug-83,60.6,11.1,59.7
NSW,Sep-83,60.7,11.2,59.8
NSW,Oct-83,60.7,11.0,59.7
NSW,Nov-83,61.2,10.1,59.7
NSW,Dec-83,61.4,10.1,59.7
NSW,Jan-84,61.3,10.1,59.6
NSW,Feb-84,61.1,10.0,59.4
NSW,Mar-84,61.3,9.8,60.1
NSW,Apr-84,62.0,10.0,60.2
NSW,May-84,62.5,9.5,60.2
NSW,Jun-84,62.5,9.7,60.4
NSW,Jul-84,62.6,8.9,60.1
NSW,Aug-84,62.6,9.2,60.5
NSW,Sep-84,62.9,8.9,60.4
NSW,Oct-84,62.9,9.0,60.3
NSW,Nov-84,63.2,8.9,60.3
NSW,Dec-84,63.2,8.7,60.0
NSW,Jan-85,62.7,8.8,59.8
NSW,Feb-85,62.6,8.7,60.2
NSW,Mar-85,62.5,9.1,60.1
NSW,Apr-85,62.8,8.9,59.8
NSW,May-85,62.7,9.0,59.9
NSW,Jun-85,62.4,9.2,59.8
NSW,Jul-85,62.5,8.8,59.7
NSW,Aug-85,62.4,9.0,60.3
NSW,Sep-85,62.8,8.6,60.3
NSW,Oct-85,63.1,8.0,59.9
NSW,Nov-85,63.7,8.2,60.7
NSW,Dec-85,63.9,8.3,60.4
NSW,Jan-86,63.8,8.3,60.7
NSW,Feb-86,63.6,8.5,60.8
NSW,Mar-86,63.7,8.3,60.5
NSW,Apr-86,64.3,8.5,61.3
NSW,May-86,64.5,8.2,60.8
NSW,Jun-86,64.5,8.2,61.0
NSW,Jul-86,64.3,8.5,60.8
NSW,Aug-86,64.0,8.6,60.6
NSW,Sep-86,63.8,8.7,60.3
NSW,Oct-86,63.7,8.7,60.6
NSW,Nov-86,63.9,8.7,60.5
NSW,Dec-86,64.1,8.6,60.6
NSW,Jan-87,63.6,8.8,60.4
NSW,Feb-87,63.5,8.7,60.4
NSW,Mar-87,63.4,8.8,60.6
NSW,Apr-87,64.0,8.9,60.7
NSW,May-87,64.1,8.8,60.5
NSW,Jun-87,64.0,8.7,60.8
NSW,Jul-87,64.1,8.9,61.1
NSW,Aug-87,63.9,8.6,60.5
